Date,Close,High,Low,Open,Volume
2024-06-21,23501.1,23667.1,23398.2,23661.15,609900
2024-06-24,23537.85,23558.1,23350.0,23382.3,239400
2024-06-25,23721.3,23754.15,23562.05,23577.1,298100
2024-06-26,23868.8,23889.9,23670.45,23723.1,287800
2024-06-27,24044.5,24087.45,23805.4,23881.55,515200
2024-06-28,24010.6,24174.0,23985.8,24085.9,354800
2024-07-01,24141.95,24164.0,23992.7,23992.95,0
2024-07-02,24123.85,24236.35,24056.4,24228.75,0
2024-07-03,24286.5,24309.15,24207.1,24291.75,0
2024-07-04,24302.15,24401.0,24281.0,24369.95,251200
2024-07-05,24323.85,24363.0,24168.85,24213.35,298400
2024-07-08,24320.55,24344.6,24240.55,24329.45,266300
2024-07-09,24433.2,24443.6,24331.9,24351.0,250500
2024-07-10,24324.45,24461.05,24141.8,24459.85,292300
2024-07-11,24315.95,24402.65,24193.75,24396.55,306400
2024-07-12,24502.15,24592.2,24331.15,24387.95,325800
2024-07-15,24586.7,24635.05,24522.75,24587.6,305400
2024-07-16,24613.0,24661.25,24587.65,24615.9,283200
2024-07-18,24800.85,24837.75,24504.45,24543.8,350900
2024-07-19,24530.9,24854.8,24508.15,24853.8,343800
2024-07-22,24509.25,24595.2,24362.3,24445.75,324200
2024-07-23,24479.05,24582.55,24074.2,24568.9,436400
2024-07-24,24413.5,24504.25,24307.25,24444.95,366600
2024-07-25,24406.1,24426.15,24210.8,24230.95,391800
2024-07-26,24834.85,24861.15,24410.9,24423.35,383800
2024-07-29,24836.1,24999.75,24774.6,24943.3,355000
2024-07-30,24857.3,24971.75,24798.65,24839.4,385000
2024-07-31,24951.15,24984.6,24856.5,24886.7,333600
2024-08-01,25010.9,25078.3,24956.4,25030.95,431300
2024-08-02,24717.7,24851.9,24686.85,24789.0,345000
2024-08-05,24055.6,24350.05,23893.7,24302.85,487000
2024-08-06,23992.55,24382.6,23960.4,24189.85,312300
2024-08-07,24297.5,24337.7,24184.9,24289.4,317600
2024-08-08,24117.0,24340.5,24079.7,24248.55,311900
2024-08-09,24367.5,24419.75,24311.2,24386.85,215100
2024-08-12,24347.0,24472.8,24212.1,24320.05,279900
2024-08-13,24139.0,24359.95,24116.5,24342.35,239700
2024-08-14,24143.75,24196.5,24099.7,24184.4,303300
2024-08-16,24541.15,24563.9,24204.5,24334.85,271600
2024-08-19,24572.65,24638.8,24522.95,24636.35,243600
2024-08-20,24698.85,24734.3,24607.2,24648.9,238300
2024-08-21,24770.2,24787.95,24654.5,24680.55,257100
2024-08-22,24811.5,24867.35,24784.45,24863.4,220300
2024-08-23,24823.15,24858.4,24771.65,24845.4,206800
